loc,v(g),ev(g),iv(g),n,l,d,i,t,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,defects,risk_score,risk_level
14.0,1.0,1.0,1.0,79.0,0.22,4.59,75.63,88.45,0,0,0,4.0,17.0,1,16.628887962290683,Low
19.0,5.0,1.0,1.0,62.0,0.05,21.0,12.76,312.62,0,2,0,12.0,8.0,1,26.16113699822971,Low
88.0,8.0,1.0,7.0,250.0,0.03,33.25,41.29,2536.17,19,12,3,21.0,24.0,1,35.96560565700109,Medium
13.0,2.0,1.0,2.0,50.0,0.24,4.24,55.47,55.32,0,1,0,7.0,19.0,1,18.191123230933655,Low
46.0,4.0,1.0,4.0,80.0,0.08,11.92,33.26,262.39,1,14,0,13.0,18.0,1,27.50798785597926,Low
129.0,30.0,18.0,25.0,402.0,0.02,46.42,55.65,6662.64,1,14,1,34.0,52.0,1,55.24872992887075,Medium
20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,7.889513593379087,Low
22.0,1.0,1.0,1.0,107.0,0.08,12.06,42.19,340.84,0,4,0,10.0,17.0,1,20.87369984332941,Low
32.0,2.0,1.0,2.0,157.0,0.08,12.2,69.81,577.56,3,4,0,11.0,32.0,1,24.850359844306578,Low
13.0,1.0,1.0,1.0,45.0,0.07,14.4,11.9,137.06,0,2,0,9.0,5.0,1,18.169612067519875,Low
12.0,3.0,1.0,2.0,22.0,0.12,8.33,10.56,40.74,0,1,0,10.0,6.0,1,19.65618151343314,Low
6.0,1.0,1.0,1.0,11.0,0.32,3.12,11.16,6.05,0,1,0,5.0,4.0,1,11.213852441574392,Low
17.0,3.0,1.0,1.0,28.0,0.13,7.43,14.73,45.15,1,1,0,8.0,7.0,1,20.60464726930865,Low
5.0,1.0,1.0,1.0,15.0,0.24,4.2,12.8,12.55,0,0,0,7.0,5.0,1,11.73064766176706,Low
227.0,55.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,42.19806509482153,Medium
68.0,5.0,1.0,4.0,309.0,0.03,32.04,53.85,3072.36,1,8,0,15.0,32.0,1,33.536882296780625,Medium
37.0,4.0,1.0,4.0,73.0,0.1,10.15,36.59,209.42,6,6,0,14.0,20.0,1,26.451110164646686,Low
106.0,12.0,5.0,9.0,288.0,0.03,34.94,50.35,3415.22,17,10,1,25.0,44.0,1,44.24638425075843,Medium
18.0,1.0,1.0,1.0,18.0,0.3,3.3,21.82,13.2,0,2,0,6.0,10.0,1,15.842850469139949,Low
100.0,11.0,1.0,7.0,277.0,0.04,28.25,57.92,2567.94,17,17,0,20.0,40.0,1,37.89751996776785,Medium
99.0,14.0,5.0,11.0,277.0,0.04,26.16,68.92,2619.49,4,10,0,27.0,64.0,1,44.27692444680772,Medium
53.0,6.0,1.0,3.0,176.0,0.03,30.23,31.19,1583.45,2,10,2,19.0,22.0,1,32.71280673098094,Low
4.0,1.0,1.0,1.0,10.0,0.5,2.0,15.0,3.33,0,0,0,4.0,4.0,1,9.034141290822072,Low
4.0,1.0,1.0,1.0,10.0,0.5,2.0,15.0,3.33,0,0,0,4.0,4.0,1,9.034141290822072,Low
4.0,1.0,1.0,1.0,10.0,0.5,2.0,15.0,3.33,0,0,0,4.0,4.0,1,9.034141290822072,Low
4.0,1.0,1.0,1.0,10.0,0.5,2.0,15.0,3.33,0,0,0,4.0,4.0,1,9.034141290822072,Low
4.0,1.0,1.0,1.0,10.0,0.5,2.0,15.0,3.33,0,0,0,4.0,4.0,1,9.034141290822072,Low
50.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.8677618465969,Low
14.0,3.0,1.0,1.0,21.0,0.13,8.0,10.26,36.46,2,3,0,10.0,5.0,1,19.794753297889514,Low
11.0,2.0,1.0,1.0,30.0,0.11,9.17,13.09,61.11,0,1,0,10.0,6.0,1,18.356335516788963,Low
174.0,15.0,11.0,7.0,448.0,0.04,24.66,122.46,4138.1,28,37,0,21.0,86.0,1,49.819466770182665,Medium
33.0,4.0,1.0,3.0,98.0,0.09,10.71,45.31,288.99,0,2,0,10.0,21.0,1,26.307311542868632,Low
4.0,1.0,1.0,1.0,8.0,0.4,2.5,9.6,3.33,0,0,0,5.0,3.0,1,9.222921357310247,Low
13.0,2.0,1.0,2.0,59.0,0.13,7.8,30.26,102.27,0,2,0,6.0,10.0,1,19.046116596101342,Low
135.0,11.0,1.0,9.0,352.0,0.05,18.58,124.77,2392.2,14,24,3,18.0,78.0,1,38.51225312056193,Medium
49.0,6.0,3.0,5.0,137.0,0.04,23.76,32.03,1004.49,0,9,0,22.0,25.0,1,34.99970183292178,Medium
45.0,6.0,1.0,3.0,226.0,0.04,27.36,46.38,1928.72,1,2,0,17.0,32.0,1,32.37613441927578,Low
65.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.073104707687115,Low
40.0,5.0,3.0,5.0,131.0,0.04,23.38,30.96,939.66,0,5,0,22.0,24.0,1,33.5204604187501,Medium
59.0,7.0,5.0,7.0,195.0,0.05,20.64,52.77,1248.67,13,8,2,19.0,29.0,1,37.81808376214346,Medium
31.0,4.0,3.0,4.0,107.0,0.05,20.5,28.15,657.11,0,6,0,21.0,21.0,1,31.25363792011968,Low
45.0,9.0,9.0,5.0,195.0,0.03,28.97,37.8,1761.86,4,5,0,20.0,29.0,1,41.338627952081566,Medium
31.0,6.0,1.0,3.0,69.0,0.07,14.86,22.79,279.46,3,5,0,16.0,14.0,1,28.096500746559638,Low
28.0,2.0,1.0,2.0,75.0,0.07,15.27,22.21,287.86,8,1,0,12.0,11.0,1,23.650596551017333,Low
49.0,3.0,1.0,3.0,121.0,0.05,20.86,30.65,741.28,2,4,8,17.0,22.0,1,28.71152303050658,Low
30.0,5.0,3.0,4.0,100.0,0.05,21.0,26.0,636.93,1,5,1,22.0,22.0,1,32.1219047614434,Low
146.0,15.0,9.0,9.0,423.0,0.02,43.15,61.62,6373.12,23,13,12,27.0,51.0,1,49.46444912203676,Medium
127.0,16.0,10.0,9.0,462.0,0.02,42.0,72.43,7098.59,3,11,8,28.0,68.0,1,50.02944559598075,Medium
85.0,18.0,11.0,1.0,350.0,0.02,43.89,47.48,5081.96,3,11,0,24.0,38.0,1,48.917742207565816,Medium
28.0,5.0,3.0,4.0,98.0,0.05,20.0,26.42,587.16,0,5,0,21.0,21.0,1,31.679951566165183,Low
21.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,15.376992722898969,Low
127.0,23.0,21.0,8.0,323.0,0.03,36.58,56.89,4229.08,31,8,0,30.0,57.0,1,54.04844702113929,Medium
45.0,12.0,1.0,6.0,160.0,0.04,28.44,28.62,1286.31,1,8,0,16.0,18.0,1,34.5373353089701,Medium
31.0,3.0,1.0,2.0,87.0,0.09,10.86,40.42,264.71,0,5,0,12.0,21.0,1,25.12465763072278,Low
11.0,3.0,1.0,2.0,39.0,0.09,11.69,14.17,107.57,0,0,0,11.0,8.0,1,20.768786248783467,Low
28.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.376902825755227,Low
61.0,8.0,1.0,3.0,99.0,0.04,24.55,18.96,634.56,24,8,0,15.0,11.0,1,32.72359244916398,Low
12.0,2.0,1.0,1.0,16.0,0.24,4.08,14.5,13.43,0,3,0,7.0,6.0,1,16.325825295500454,Low
20.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,19.293908923321997,Low
28.0,3.0,1.0,2.0,95.0,0.08,12.32,40.76,343.67,0,6,0,14.0,25.0,1,25.419797008848345,Low
55.0,4.0,1.0,4.0,73.0,0.03,32.0,10.32,587.06,3,31,0,16.0,7.0,1,29.95436410235885,Low
38.0,6.0,1.0,3.0,75.0,0.04,23.33,14.54,439.79,2,19,3,14.0,9.0,1,29.592852994254002,Low
14.0,10.0,7.0,6.0,97.0,0.02,43.2,9.18,951.56,0,0,0,12.0,5.0,1,35.97095552727329,Medium
142.0,11.0,1.0,3.0,128.0,0.03,37.14,17.53,1343.74,72,26,4,20.0,14.0,1,38.49317646143231,Medium
29.0,3.0,1.0,2.0,95.0,0.08,12.32,40.76,343.67,0,6,0,14.0,25.0,1,25.53354608057439,Low
15.0,2.0,1.0,2.0,19.0,0.19,5.25,13.39,20.51,4,2,0,7.0,6.0,1,17.709025653773047,Low
54.0,5.0,1.0,4.0,116.0,0.03,33.23,17.29,1060.96,5,14,0,18.0,13.0,1,31.656673803018222,Low
105.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,19.05572354002159,Low
29.0,3.0,3.0,2.0,52.0,0.14,6.9,34.55,91.39,9,5,0,9.0,15.0,1,26.24034988334163,Low
15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,10.149857482227286,Low
24.0,4.0,4.0,2.0,48.0,0.18,5.63,39.63,69.66,5,2,0,9.0,16.0,1,27.16691726849161,Low
25.0,4.0,4.0,2.0,50.0,0.18,5.56,42.28,72.58,5,2,0,9.0,17.0,1,27.345784992014632,Low
88.0,14.0,1.0,14.0,364.0,0.02,50.45,43.92,6210.79,0,2,0,26.0,42.0,1,40.43369535467492,Medium
116.0,13.0,7.0,12.0,292.0,0.04,22.9,83.4,2428.75,5,11,0,26.0,67.0,1,45.43153490137908,Medium
71.0,5.0,1.0,4.0,223.0,0.06,16.07,83.25,1194.64,1,11,0,15.0,49.0,1,32.091549440151894,Low
49.0,4.0,3.0,3.0,185.0,0.05,18.84,58.25,1148.22,0,9,0,,,1,,
87.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,25.472580259651682,Low
19.0,2.0,1.0,2.0,43.0,0.12,8.64,21.87,90.62,1,4,0,10.0,11.0,1,20.670305467274712,Low
99.0,9.0,1.0,7.0,260.0,0.03,29.02,54.34,2543.06,14,12,2,24.0,43.0,1,37.21749044666961,Medium
84.0,8.0,5.0,5.0,205.0,0.04,27.06,44.19,1797.52,14,11,2,23.0,34.0,1,40.60868382783811,Medium
77.0,10.0,1.0,10.0,269.0,0.03,30.81,47.37,2498.85,19,8,0,16.0,27.0,1,36.360127765628974,Medium
139.0,20.0,8.0,3.0,349.0,0.02,64.31,32.04,7365.58,35,26,6,28.0,32.0,1,50.70971928041212,Medium
37.0,5.0,1.0,1.0,143.0,0.05,18.57,38.84,744.25,2,6,1,12.0,21.0,1,29.2160255614758,Low
29.0,3.0,1.0,3.0,97.0,0.09,11.63,41.7,313.41,4,6,1,13.0,19.0,1,24.979014404303193,Low
20.0,3.0,1.0,3.0,41.0,0.11,9.33,19.29,93.38,0,4,0,12.0,9.0,1,22.116873280394948,Low
31.0,3.0,1.0,3.0,105.0,0.09,11.76,45.42,349.06,4,6,1,13.0,21.0,1,25.366922179688565,Low
34.0,5.0,1.0,1.0,91.0,0.05,22.0,19.44,522.78,3,13,2,13.0,13.0,1,28.823195111494304,Low
62.0,6.0,4.0,5.0,169.0,0.05,18.29,52.16,969.07,4,9,0,17.0,33.0,1,36.34511227164057,Medium
132.0,31.0,23.0,12.0,1229.0,0.01,91.2,83.15,38419.71,43,8,0,27.0,45.0,1,58.52600035547181,Medium
18.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,11.747862068206164,Low
68.0,4.0,3.0,4.0,137.0,0.1,9.9,79.97,435.83,15,13,0,13.0,42.0,1,32.548238378629144,Low
4.0,1.0,1.0,1.0,7.0,0.5,2.0,9.83,2.18,0,0,0,4.0,3.0,1,8.712349007284121,Low
22.0,1.0,1.0,1.0,27.0,0.24,4.2,26.28,25.75,5,6,4,7.0,10.0,1,17.113349172360074,Low
10.0,2.0,1.0,1.0,20.0,0.22,4.5,17.36,19.53,0,1,0,9.0,6.0,1,16.028420509933532,Low
76.0,8.0,6.0,7.0,149.0,0.05,20.0,39.38,875.03,7,8,4,15.0,24.0,1,39.52956396472329,Medium
20.0,2.0,1.0,2.0,84.0,0.11,9.25,46.95,223.17,0,4,0,12.0,24.0,1,22.095680040886727,Low
20.0,2.0,1.0,2.0,84.0,0.1,9.65,44.64,231.04,0,4,0,12.0,23.0,1,22.16360808183446,Low
31.0,6.0,1.0,2.0,76.0,0.05,20.45,17.46,405.95,4,7,5,15.0,11.0,1,28.77473172275043,Low
89.0,21.0,4.0,5.0,179.0,0.03,34.5,27.98,1850.01,0,19,0,23.0,19.0,1,44.03852156875825,Medium
81.0,9.0,5.0,4.0,198.0,0.03,30.86,37.43,1979.99,14,16,1,25.0,32.0,1,41.30620322377494,Medium
30.0,2.0,1.0,2.0,86.0,0.08,13.33,32.54,321.35,1,2,1,15.0,18.0,1,24.11651207420425,Low
47.0,11.0,4.0,6.0,143.0,0.03,31.05,24.99,1338.52,0,8,0,23.0,20.0,1,38.88662699612678,Medium
191.0,27.0,18.0,23.0,581.0,0.02,60.15,59.0,11859.54,32,8,0,22.0,47.0,1,56.79060316139527,Medium
36.0,7.0,1.0,4.0,72.0,0.06,15.6,23.28,314.77,6,6,0,18.0,15.0,1,29.4389554663049,Low
43.0,12.0,6.0,5.0,70.0,0.07,14.57,23.8,280.74,0,8,0,17.0,14.0,1,37.607516278687214,Medium
219.0,31.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,37.582037095847944,Medium
8.0,1.0,1.0,1.0,17.0,0.21,4.8,13.11,16.78,0,1,0,8.0,5.0,1,13.452781092019316,Low
14.0,3.0,1.0,2.0,56.0,0.11,8.79,31.25,134.25,0,4,0,13.0,17.0,1,21.657722304779973,Low
24.0,2.0,1.0,2.0,77.0,0.05,18.33,19.26,359.58,0,5,0,15.0,9.0,1,23.460486025375022,Low
24.0,2.0,1.0,2.0,89.0,0.04,22.4,18.68,520.6,0,5,0,16.0,10.0,1,24.230812338351953,Low
26.0,2.0,1.0,2.0,89.0,0.06,17.82,23.2,409.13,0,5,0,14.0,11.0,1,23.893073849056034,Low
70.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,17.00546862116212,Low
24.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,12.668673503170405,Low
25.0,4.0,3.0,3.0,111.0,0.05,19.5,29.87,631.06,0,4,0,19.0,19.0,1,30.261753057479957,Low
36.0,2.0,1.0,2.0,86.0,0.08,13.33,33.6,331.86,1,9,0,16.0,21.0,1,24.92157835831545,Low
29.0,4.0,1.0,3.0,100.0,0.08,12.4,43.19,369.19,5,3,0,15.0,26.0,1,26.629203769670106,Low
28.0,7.0,1.0,4.0,62.0,0.11,9.39,32.72,160.22,5,3,0,13.0,18.0,1,27.317415052993578,Low
6.0,1.0,1.0,1.0,13.0,0.5,2.0,21.59,4.8,0,1,0,4.0,6.0,1,10.648320641447347,Low
40.0,5.0,1.0,5.0,132.0,0.05,20.0,35.59,790.87,4,5,0,20.0,22.0,1,29.76867179044291,Low
45.0,8.0,4.0,6.0,129.0,0.04,27.33,22.69,941.71,0,4,0,16.0,12.0,1,36.326787803400386,Medium
45.0,7.0,1.0,6.0,121.0,0.04,24.67,23.58,797.13,0,5,0,16.0,12.0,1,31.313883570535477,Low
4.0,1.0,1.0,1.0,7.0,0.5,2.0,9.83,2.18,0,0,0,4.0,3.0,1,8.712349007284121,Low
160.0,18.0,8.0,6.0,216.0,0.02,51.33,22.39,3278.31,18,73,3,22.0,18.0,1,49.19052066309522,Medium
27.0,4.0,3.0,2.0,82.0,0.06,17.6,23.08,397.22,0,7,0,16.0,15.0,1,29.866461464113094,Low
121.0,22.0,1.0,13.0,345.0,0.04,23.91,86.26,2738.81,5,5,7,15.0,48.0,1,41.234362935559204,Medium
12.0,2.0,1.0,1.0,17.0,0.18,5.6,11.23,19.57,0,3,0,8.0,5.0,1,16.97051343222445,Low
26.0,2.0,1.0,2.0,22.0,0.26,3.86,21.11,17.44,1,11,0,6.0,7.0,1,18.824079755384098,Low
25.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,20.010509033135136,Low
34.0,9.0,9.0,7.0,110.0,0.06,17.0,31.75,509.77,5,4,0,15.0,15.0,1,37.82652082572236,Medium
33.0,9.0,9.0,7.0,103.0,0.05,22.22,24.32,667.33,1,3,0,20.0,18.0,1,38.82049936970952,Medium
145.0,10.0,4.0,6.0,382.0,0.02,41.31,56.87,5391.57,37,17,0,26.0,45.0,1,44.27141852170235,Medium
5.0,1.0,1.0,1.0,7.0,0.5,2.0,9.83,2.18,0,0,0,4.0,3.0,1,9.32408819961838,Low
28.0,7.0,5.0,4.0,54.0,0.07,13.46,19.49,196.14,4,2,0,17.0,12.0,1,32.837369558817784,Low
46.0,8.0,3.0,5.0,108.0,0.05,19.95,29.0,641.3,5,5,5,21.0,20.0,1,35.08101491796633,Medium
41.0,10.0,10.0,4.0,120.0,0.03,28.72,22.23,1019.05,0,5,0,22.0,18.0,1,41.21460869225124,Medium
85.0,18.0,14.0,17.0,238.0,0.03,28.75,48.7,2236.22,2,9,0,23.0,36.0,1,48.489211957294906,Medium
60.0,16.0,7.0,6.0,189.0,0.02,48.03,20.94,2683.9,1,11,3,23.0,17.0,1,44.59819703065035,Medium
31.0,7.0,5.0,5.0,113.0,0.04,22.5,27.42,771.14,0,1,0,22.0,22.0,1,35.59887212888878,Medium
39.0,8.0,6.0,6.0,129.0,0.04,26.0,27.41,1029.22,0,3,0,23.0,23.0,1,38.10563219629982,Medium
27.0,6.0,4.0,4.0,94.0,0.05,18.95,26.22,522.98,0,2,0,20.0,19.0,1,32.97043444547695,Low
62.0,16.0,13.0,7.0,226.0,0.03,39.72,31.07,2722.48,0,6,5,21.0,23.0,1,47.03905418491009,Medium
138.0,35.0,21.0,17.0,498.0,0.02,51.27,62.26,9091.15,0,21,0,26.0,46.0,1,56.97059834147379,Medium
30.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,22.355390412005573,Low
34.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,16.97038744335375,Low
13.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,14.8704220113344,Low
26.0,34.0,34.0,1.0,333.0,0.01,104.0,14.06,8450.82,2,2,0,14.0,7.0,1,53.20190111811968,Medium
43.0,11.0,1.0,10.0,235.0,0.07,14.56,88.65,1043.85,0,10,0,11.0,34.0,1,32.79078592987762,Low
67.0,11.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,27.749186864838627,Low
14.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,10.954712411562328,Low
